wave,outcome,stratum,n,term,coef,se,t,p
2020,currently_married,all,2198,mother_id_x_female,0.12666,0.08093,1.565,0.11771
2020,currently_married,all,2198,father_id_x_female,0.1812,0.08453,2.144,0.03217
2020,currently_married,male,1221,const,1.08824,0.20476,5.315,0.0
2020,currently_married,male,1221,mother_ideation,-0.02891,0.06229,-0.464,0.64261
2020,currently_married,male,1221,father_ideation,0.01845,0.05508,0.335,0.73765
2020,currently_married,male,1221,age_c,0.4167,0.03663,11.377,0.0
2020,currently_married,male,1221,age_c2,-0.07293,0.01783,-4.091,5e-05
2020,currently_married,male,1221,urban,-0.03467,0.02437,-1.423,0.15506
2020,currently_married,male,1221,parent_avg_age,-0.00557,0.0024,-2.324,0.02027
2020,currently_married,male,1221,parent_avg_edu,-0.00028,0.00328,-0.086,0.93173
2020,currently_married,male,1221,parent_log_income,0.00384,0.01161,0.331,0.74091
2020,currently_married,female,977,const,0.82846,0.24472,3.385,0.00074
2020,currently_married,female,977,mother_ideation,0.00597,0.06119,0.098,0.92234
2020,currently_married,female,977,father_ideation,0.13713,0.06639,2.066,0.03913
2020,currently_married,female,977,age_c,0.43425,0.07997,5.43,0.0
2020,currently_married,female,977,age_c2,-0.05278,0.035,-1.508,0.13188
2020,currently_married,female,977,urban,-0.00093,0.02621,-0.036,0.97167
2020,currently_married,female,977,parent_avg_age,-0.0005,0.00297,-0.168,0.86659
2020,currently_married,female,977,parent_avg_edu,-0.01609,0.0041,-3.921,9e-05
2020,currently_married,female,977,parent_log_income,0.01113,0.01377,0.808,0.41902
2020,housework_hours,all,1145,const,2.3686,0.65475,3.618,0.00031
2020,housework_hours,all,1145,mother_ideation,0.04854,0.2695,0.18,0.85709
2020,housework_hours,all,1145,father_ideation,-0.28275,0.25623,-1.103,0.27005
2020,housework_hours,all,1145,child_female,-0.41721,0.26799,-1.557,0.1198
2020,housework_hours,all,1145,age_c,0.36498,0.125,2.92,0.00357
2020,housework_hours,all,1145,age_c2,0.026,0.0557,0.467,0.6407
2020,housework_hours,all,1145,urban,-0.26728,0.08082,-3.307,0.00097
2020,housework_hours,all,1145,parent_avg_age,-0.01289,0.00819,-1.574,0.11587
2020,housework_hours,all,1145,parent_avg_edu,-0.04565,0.01224,-3.731,0.0002
2020,housework_hours,all,1145,parent_log_income,0.01181,0.0376,0.314,0.75356
2020,housework_hours,all,1145,mother_id_x_female,0.86922,0.37772,2.301,0.02156
2020,housework_hours,all,1145,father_id_x_female,0.68347,0.38709,1.766,0.07772
2020,housework_hours,male,665,const,2.03381,0.72179,2.818,0.00498
2020,housework_hours,male,665,mother_ideation,0.23467,0.26584,0.883,0.37771
2020,housework_hours,male,665,father_ideation,-0.15493,0.26092,-0.594,0.55286
2020,housework_hours,male,665,age_c,0.30906,0.14094,2.193,0.02866
2020,housework_hours,male,665,age_c2,0.08436,0.0669,1.261,0.20779
2020,housework_hours,male,665,urban,-0.22884,0.11708,-1.955,0.05106
2020,housework_hours,male,665,parent_avg_age,-0.01234,0.00882,-1.399,0.16216
2020,housework_hours,male,665,parent_avg_edu,-0.02953,0.01549,-1.906,0.05704
2020,housework_hours,male,665,parent_log_income,-0.00146,0.03812,-0.038,0.96937
2020,housework_hours,female,480,const,2.44147,1.27091,1.921,0.05533
2020,housework_hours,female,480,mother_ideation,0.6767,0.27682,2.445,0.01487
2020,housework_hours,female,480,father_ideation,0.21335,0.30814,0.692,0.48903
2020,housework_hours,female,480,age_c,0.59886,0.28931,2.07,0.039
2020,housework_hours,female,480,age_c2,0.016,0.12122,0.132,0.89507
2020,housework_hours,female,480,urban,-0.3631,0.11299,-3.213,0.0014
2020,housework_hours,female,480,parent_avg_age,-0.01438,0.01525,-0.943,0.34633
2020,housework_hours,female,480,parent_avg_edu,-0.06424,0.01974,-3.254,0.00122
2020,housework_hours,female,480,parent_log_income,0.03772,0.08042,0.469,0.63924
2020,marriage_sat,all,751,const,3.62786,0.70084,5.176,0.0
2020,marriage_sat,all,751,mother_ideation,-0.26975,0.24777,-1.089,0.27662
